"","textoComentario"
"27","Voy cada año porque, aparte de ser el que tengo más cerca, lo considero uno de los mejores parques de Europa. Aunque hay cosas a mejoras como en todas partes, seguiré yendo año tras año. Lo malo es que van subiendo los precios tanto del...Más"
"28","Port Aventura nunca falla, da igual la época del año que sea, siempre hay algo especial.
Para mi, una de las favoritas es Halowen, es espectacular la decoración y las animaciones tanto para grandes como para pequeños.
Si que la entrada puede parecer un poquito...Más"
"29","Mi opinion personal de un sabado que se preveia de Felicidad, un dia de família que se convirtió en un dia de colas + colas sin freno y si no quieres unas megacolas compra el pase Express y haras algo menos de colas eso si...Más"
"30","Lo hemos pasado en grande, los niños, los adolescentes y los mayores. 
Además compre la pulserita de pase express y fenomenal colas súper rápidas máximo 10 min. Perdí la cuenta de la de veces que repitieron o mejor dicho repetimos todos. Hay restaurantes para todos...Más"
"31","Fuimos a Port Aventura en octubre. Era Halloween y tienen funciones especiales. Merece la pena, muy entretenido."
"32","Había estado hace 3 años, esta vez nos montamos en sitios diferentes por la estatura de nuestro hijo, disfrutamos.
Lo único la comida de La Cantina, de bastante mala calidad, la podría mejorar. Vamos ahí por el espectáculo y es grande."
"33","El Port Aventura world es muy chulo, atracciones para todas las edades a poca distancia (íbamos con 3 peques de 11, 6 y 3 años) y todos lo disfrutaron mucho. La comida carísima y de mala calidad. Si llevas carrito no lo checan y puedes...Más"
"34","Compramos el Halloween passport que incluyen la entrada a los 4 pasajes de terror del parque.
El primero que hicimos fue el de: 
REC
Creo que de todos es el mejor, increíbles decorados de las cuatro películas. Algunos buenos sustos y los actores de 10....Más"
"35","El parque y todo su entorno es genial, como único ""pero"" estaría bien que abriesen todas las atracciones aún entre semana, ya que muchas estaban cerradas al ir un miércoles."
"36","Hemos estado 3 días en PortAventura y ha sido espectacular. 
Mi niño ha disfrutado mucho y yo lo he flipado en las buenas atracciones que tiene este parque.
Red force, Furius baco, stampida y Shambhala son espectaculares. 
Sin duda volveremos muy pronto a disfrutar de...Más"
"37","Pasamos un fin de semana con familia y amigos y no podíamos faltar a Port Aventura como casi todos los años. Somos unos fans incondicionales. Había bastante gente así que en alguna atracción hay que tener paciencia pero muy bien"
"38","Nos hemos echo un viaje de 10 horas para  conocer el parque y la verdad una decepción, hemos ido ayer lunes 30 de septiembre nos han cobrado 50 euros por entrada algo que no era una sorpresa ya que lo habíamos mirado, pero claro la...Más"
"39","Fuimos con nuestros hijos de 4 y de 1 año, pensando que no tendríamos mucho que hacer con niños tan pequeños y, sorprendentemente, encontramos muchas atracciones donde pudimos disfrutar toda la familia.
La zona de Sésamo Aventura, excelente, pero además, la niña de 4 años,...Más"
"40","Buen parque para pasar un par de días. El parque ya estaba ambientado con la temática de halloween, muy bonito pero echamos en falta a gente disfrazada por el parque. Fuimos el último fin de semana de septiembre, el viernes genial, no había colas en...Más"
"41","Nos encanta el parque. Esta muy bien hecho y tiene unas super montañas rusas, y buenos shows. Hemos comprado dos años consecutivos el pase anual. Mi hija ama ir al parque cada fin de semana. Recomendado 100%. Lo único malo es los horarios y el...Más"
"42","Gran complejo tanto de atracciones como de espectáculos.
Donde encuentras varias ambientaciones,preparado tanto para adultos como para niños,
Posibilidad tanto para comer como pernoctar dentro de las instalaciones"
"43","Es la primera vez que he ido al parque y me pareció realmente espectacular; los diferentes mundos y atracciones, las actuaciones, el ambiente... Coincidió con el comienzo de las actividades de halloween y la verdad que pudimos disfrutar bastante. Destacar la actuación de las aves...Más"
"44","Hacía 20 años que no visitaba el parque y ha sido una gran decepción. Restaurantes cerrados, tres pases diferentes de fast past con colas para el resto de hora y media. La decoración de halloween es de risa, por no hablar de las tres atracciones,...Más"
"45","Sigue siendo el parque que abrió hace años, poco ha cambiado pero veo excesiva masificación.
Hemos coincidido con los espectáculos de halloween y ha sido fantástico."
"46","Un parque de atracciones ideal para todo tipo de edades, disfrutan los pequeños y los mayores. Lo que me parece un robo es el precio de las bebidas y de la comida. Mas de las bebidas porque cuando hace calor , es una necesidad y...Más"
"47","Reconociendo de antemano que en general es un gran centro de entretenimiento, creo que son muchas las cosas a mejorar, la restauración es de una calidad y servicio muy básico....a precio de estrella Michelin, días tranquilos (como el de hoy) se convierten en jornadas de...Más"
"48","Pasamos un día genial! Tiene atracciones para todas las edades, así que todos disfrutamos muchísimo! Sobretodo se ha de traer buen calzado e ir parando para beber agua, ya que es un día muy intenso! Volveremos!"
"49","Habíamos ido muchas veces antes allí, pero nunca en época de Halloween. Es espectacular! La decoración, a base de miles de calabazas color naranja, calaveras y esqueletos, telarañas colgantes y todo tipo de zombis y momias caminantes hacen del viaje una experiencia fuera de serie....Más"
"50","fuimos para la noche blanca de julio de 80&90 y me lo pasé muy bien!!! Abrian hasta las 2 de la noche y tenián animación por la calle"
"51","Lugar perfecto para is con niños, un día muy completo.En verano hace mucha calor pero con los chapoteos de las atracciones se va llebando"
"52","Hay q pagar una llamada al 902... Le pregunte por la compatibilidad del precio del segundo parque con la promocion de dtos por llevar las bolsas de chuches y me dicen q no. Por si no me entendia bien se lo repetí... Igual resultado. Voy...Más"
"53","Fuimos a pasar tres días y para mayores está muy bien pero para niños de 2 años no hay prácticamente nada solo parques de toboganes y poco más para sin embargo la entrada si te la cobran si es para niños a partir dev3 años...Más"
"54","Una vez más hemos disfrutado en familia del parque. Esta vez ya, los niños son adolescentes y no dicen que no a nada, v así que es una delicia compartir Shambala, de dragónkan, o furious, con tus hijos. 
Esta vez nos hemos alojado en el...Más"
"55","Íbamos con un niño de 6años y la parte de sésamo aventura es genial. Mi hijo estaba encantado. Ojo hay atracciones que no se puede montar si no mide más de 1.20"
"56","Este mes de Septiembre, coincidiendo una época anterior al inicio del curso escolar, y después de la promesa de ir por la primera comunión de mi hija, prográmanos una estancia de una semana en Salou, con entrada combinada 3 días 2 parques para ir 3...Más"
"57","Época de tematización Halloween, ya no hacen la selva del miedo (era gratuito), hay cuatro pasajes del terror de pago, se pueden sacar entradas para cada uno por separado (5/5/6/10€) o comprar un pase para los cuatro por 22€, como negativo los precios, si compras...Más"
"58","Un lugar muy recomendable para pasar en familia, eso si niños de menos de un metro solo puedes montar en algunas cosas.
El Ferrari Land y Shambala lo mejor!"
"59","La ferrari es muy top. Está todo muu bien menos los precios dentro del parque que son realmente ABUSIVOS. 2,20€ un agua pequeña. Una pena k se pasen tanto"
"60","Estuvimos el sabado pasado , nosotros con 3 niñas de 12/12/15 años y mis cuñados con mis sobrinos que tienen 4.
Llegamos a las taquillas y al vendedor tenian que ir sacadole la información, con muy pocas ganas.
Llevamos documentación para sacar las entradas con...Más"
"61","Demasiado caro sobre todo si tienes más de un niño, colas interminables en temporada alta en cada atracción por lo que pagas un dineral por montar en pocas cosas. Por otra parte es maravilloso para el disfrute de niños"
"62","Es la 3ª vez que voy a port aventura en los 25 años que llevará abierto, y la verdad es que no defrauda. Evidentemente es cara la entrada, está masificado, colas interminables en las atracciones, comida cara y más bien regular......pero yo veo el vaso...Más"
"63","Volví después de muchos años y la verdad que me decepcionó un poco. Me pareció muy caro, sobretodo en bebidas, una caña mediana 4.50€ en vaso de plástico. Justo era el primer día de temporada baja, así q pocos espectáculos, me quedé con pena del...Más"
"64","Me e alojado con mi Familia en el hotel Gold River de portaventura en las habitaciones 3327 y 3328 para ser exactos y nos hemos llevado un chasco enorme ya que la cama estaba en fatales condiciones la bañera de una de las habitaciones estaba...Más"
"65","Nosotros fuimos el 12 y 13 de septiembre, y muy bien, al ser entre semana no había mucha gente y pudimos disfrutar de todas las atracciones, en algunas repetimos."
"66","Fatal. Menosprecio al minusvalído. Hacen unas normas que antes de pagar no explican y en cada atracción cambian. A parte de ser, estas intolerantes. Que uno sea minusvaldo no quiere decir que sea inepto o dependiente. Se puede ser minusvalido y no tener dependencia de...Más"
"67","En este parque solo funcionan los bares y las tiendas para gastar. De cinco atracciones que hemos visto al entrar (entre muchísimas tiendas), cuatro estaban cerradas o fuera de servicio (una después de hacer toda la cola). Ha habido una sexta donde había que echar...Más"
"68","Colas interminables. Deberían controlar el aforo porque el recuerdo que te llevas,es el de haber pasado 8, 9 horas en el parque y más de la mitad metido en una cola que da vueltas y vueltas y más vueltas. Un auténtico suplicio. Ellos a lo...Más"
"69","el parque esta bien, han puesto mas cosas que las ultimas veces, pues hace años que no vamos. lo que falla mucho es la comida y los precios de sus tiendas que son realmente execivos. 

aun tienen maquinas como la sega megadrive con su sega...Más"
"70","Nos encanta pero las colas te amargan el día 2 horas dentro de una atracción para 20 segúndos que dura algunas atracciones se debaria de averiguar alguna cosa que no te obligue a pagar 50 euros más aunque tampoco sale muy rentable si todo el...Más"
"71","Tiene tres Parques de Atracciones muy buenos y completos. El Ferrari Land (único en Europa), para los amantes de la Formula 1; Un parque acuático y un parque World temático. Tienen Montañas rusas, pista de carros, desfiles de cierre impresionante, restaurantes, shows internacionales. Difícil disfrutarlos...Más"
"72","Como dice el titular, las colas te pueden amargar el día. Nosotros hemos ido con niños y cuando todas las atracciones principales estaban con una cola de al menos una hora, aprovechábamos para ir a las atracciones de los peques, un poco más vacías. 
Hay...Más"
"73","Fecha: primer sábado de septiembre

Nuestra experiencia en números:
12h en el parque
9 atracciones usadas (sin fast past)
15 minutos de diversión (dato aproximado)
8h haciendo cola

Conclusión: las emociones que se experimentan en las atracciones siguen dejando huella y hacen de PortAventura una...Más"
"74","Mundo de experiencias y sensaciones, desde la parte temática a las atracciones. Si sois de sensaciones fuertes, Shambhala, Dragón Khan, Furius Baco, Stampida y el Huracán Cóndor es vuestra inyección de adrenalina en vena. 
Recomiendo la pulsera o la entrada express para evitar los tiempos...Más"
"75","Hemos ido en dia de cada dia 1 noche en hotel el Paso i comentar q tema hotel damos un 10 la verdad desde los empleados super atentos,amables,i profesionales.El parque pues bien no es la primera vez q vamos a parque pero como siempre correcto...Más"
"76","Mejor parque de atracciones de España. No creo que haya que decir mucho más!! Lo que más me gusto fue quedarme a dormir y así disfrutar de la cabalgata de la noche y del desayuno de por la mañana. En el hotel Port Aventura que...Más"
"77","Hemos estado a Pincipios de septiembre por primera vez y me ha encantado el parque.  Tiene espectaculos y atracciones para todos los publicos.  Por algo es el mejor parque tematico de Europa.  Lo recomiendo. Sin duda, volvere a ir.  Como algo negativo los elevados precios...Más"
"78","Los espectáculos poco impresionantes.
Poquísima actividad de pasacalles.
Los servicios con poco mantenimiento y reposición.
Calidad/precio ( - )."
"79","Empezamos con el parking te cobran 14 € por dejarlo y tener que andar un rato.
Muchas atracciones empiezan a las 11 y 11'30 estando el parque abierto desde las 10 horas.
Lo de las pulseras es de vergüenza ,las colas "" normales""  no corren...Más"
"80","Solo voy a poner una pega, falta un poco más de control. Saliendo de una atracción me encontre con la desagradable sorpresa que hacia una peste a Marihuana que alguien estava fumando en la cola. Primero de todo es culpar al individuo, pero es que...Más"
"81","Recomendaciones: no visitar el parque en junio (desde el 15 en adelante) en julio y agosto, evitar fines de semana sobre todo en temporada de Halloween. Si lo visitas en esas fechas las colas son de 2 y 3 horas, algo desde mi punto de...Más"
"82","Lo que destacaría son la cantidad de atracciones que hay, tanto familiares, como para niños y adultos. También los espectáculos, son maravillosos. Lo único malo los precios de la comida y bebida. Son un poco abusivos comparado con los precios de fuera del recinto."
"83","Qué pedazo de parque de atracciones. Sabes que es bueno cuando incluso las atracciones es lo de menos (y eso que han sido las mejores que he probado). En general PortAventura es un cúmulo de mundos diferentes unidos bajo la temática de fingir ser diferentes...Más"
"84","Visita de 2 días en familia: 2 adultos y 2 niños (10 y 5 años)
Sacamos la entrada de 2 días - 2 parques  porque por 6 euros más por persona nos compensaba
Fecha de la visita - primera semana de septiembre de 2019
Nos...Más"
"85","Si estás en Salou es una visita obligada. Es mejor intentar evitar los meses de mucho calor porque el sol pega fuerte y hay pocas sombras. Se pasan con el precio del agua. Fui con mis mellizos de 5 años y aunque lo pasamos bien,...Más"
"86","Carisimo. Nada que envidiar a parques como la Warner de Madrid. Las 3 grandes que hay son ligeramente más grandes que las de la Warner pero es el doble de caro. Las de agua son exactamente iguales.

Una hora y media para conseguir los pases...Más"
"87","me encanta este parque de atracciones, aunque tengas que comprar el exprés vale mucho la pena. Y eso si, no es nescesario el expres que te deja pasar con expres en la nueva atracción, un expres solo para eso es estúpido, pero por todo llo...Más"
"88","No es la primera vez, pero hacia mucho tiempo de la ultima vez. El parque sigue manteniendo su espíritu agradable, muy cuidado todo, el personal muy atento, la única pega quizás son los precios dentro del parque un poco excesivos, una botella de agua de...Más"
"89","Hacia 12 años que hicimos la última visita. El parque es una maravilla está cuidado hasta el último detalle. Los espectáculos están muy bien organizados. Lo que no me parece nada bien es que te cobren 12€ por aparcar el coche cuando ya la entrada...Más"
"90","he ido este verano pensando que sería igual que disney me equivoque llegamos a la taquilla de  y nos no pueden dar una pulsera para un familiar que tiene discapacidad x porque hace falta una autorización del médico luego los precios que para 3 días...Más"
"91","Colas demasiado largas de casi  1h para luego 2 minutos de atraccion. Comida muy cara. Espectaculos mejorables y su informacion escasa."
"92","Es  un parque de atracciones muy bien montado y decorado, pero las  colas son excesivas y a veces los  paneles  informativos con la  demora de entrada  las atracciones marcaba 10 min y realmente era superior a los  50 min de  espera"
"93","Impresionante parque de atracciones. Vamos todos los años y nunca nos defrauda, gran cantidad de atracciones para todas las edades y de restaurantes , grandes espectáculos,a destacar el de las Aves, situado en la Polynesia.
Lo único malo es que hay colas para todo. Nosotros...Más"
"94","Siempre ir a Port Aventura es muy divertido, pero después de estar unas cuantas veces ya en un largo periodo de años el parque se hace un poco monótono, deberían de darle una vuelta, cambiar algo, hasta los espectáculos casi son iguales, con alguna pequeña...Más"
"95","Es un parque con atracciones impresionantes y con la zona Ferrari han mejorado la oferta de manera importante."
"96","Si te gusta pagar por pasar horas i horas haciendo cola entre barras de hierro...este es tu parque!! Si te gusta que te cobren el agua a precio de champagne francés...este es tu parque!!....es indecente que tengas que hacer colas de más de una hora...Más"
"97","Un parque para adultos y niños, bien hecho: nos encantó.  En agosto estaba a tope pero vale la pena visitarlo. Es una experiencia unica"
"98","Magnifico parque. Grandisimo y con muy buenas atracciones.Los niños a partir de 10  o  12 años disfrutan muchísimo ya que pueden subir a todas las atracciones. Generalmente te siempre hay muchísima gente. Tienes posibilidad de comprar unas pulseras que hacen que la cola de espera...Más"
"99","Evidentemente en agosto sabíamos que iba a haber mucha gente y muchas colas, pero lo que nos indignó fue la posibilidad de pagar para saltarte las colas (puedes comprar tiquets Premium y gold para pasar antes a las atracciones), perjudicando a los que están esperando....Más"
"100","Es un parque muy completo, aconsejo ir en epocas que no haya demasiada calor, aunque tengan atracciones de agua. Marcarse una ruta para poder montaros y ver todo el parque. Sin duda repetiria"
"101","Diversion asegurada, multiples zonas temáticas, En solo un dia no puedes verlo todo. El recorrido muy bien pensado y para todo tipo de público..."
"102","Ha sido nuestro segundo día, con mucha más gente que ayer. Si compras el pase rápido para subir en las atracciones más importantes de Port Aventura, diez en concreto, que vale 55 €  y para Ferrari Land que no es necesario, en un día te...Más"
"103","Vuelvo otro año más a port aventura con la niña, ahora ya más mayor y dispuesta a montarse en todo. Sigue igual de bien y de mal. Positivo el parque en general. Es tan bonito que las horas pasan volando. Hicimos noche en el hotel...Más"
"104","Venís con toda la ilusión la semana antes de empezar el colegio de mis hijas. El parque muy divertido el hotel UN HORROR por la pasta que cuesta. Un timo. Sábanas viejas que no ajustan, manchadas con típicas manchas viejas que no se van, no...Más"
"105","Fuimos toda la familia (dos adultos y dos niños) a principios de septiembre a pasar el día a port aventura y no pudo estar mejor, sin mucho calor y sin demasiada gente,a eso de las 7 de la tarde atracciones como el tutuki spash estaban...Más"
"106","Excelente lugar para pasar unos días diferentes en familia, los parques son muy grandes, llevar ropa cómoda y mucha paciencia ya que hay mucha gente y las colas para las nuevas atracciones es hasta de 1 hora"
"107","El parque está genial. Atracciones muy divertidas y para todas las edades, Shambala y Dragon Khan son las estrellas indiscutibles del parque. Personalmente me gustó más la primera, soy más de descensos rápidos que no de giros y loopings. Salí del parque con una buena...Más"
"108","Lo hemos pasado muy bien. Tiene todo lo que tiene que tener un parque de ese nivel.
Lo bueno 
Las atracciones muy bien 
Mucha variedad
Diversión asegurada
Mal o por mejorar
El parking- aparte de ser de pago está totalmente abandonado la gente aparca como...Más"
"109","Nunca vi un parque temático que te cobre (12€!!!) por el parking.
Y no hay limite de personas - y está super mal indicado cómo ir a cada zona. Cuanto más tiempo tardes deambulando menos tiempo estás en las colas y menos colas hay.
Los...Más"
"110","Nosotros estamos encantados con el parque, esta muy bien ambientado y el mantenimiento genial, todo limpio y los trabajadores muy atentos. Los niños lo disfrutan muchisimo! Una buena opcion para poder desconectar!"
"111","Sin duda el mejor parque de España y probablemente de Europa. Atracciones, shows... fantásticos. Sin embargo hay cosas inexplicables para un parque de estas características como la suciedad de los aseos incluso desde primera hora. Pese a todo, muy recomendable."
"112","A mí marido y Ami nos encanta hace más de 20 años k vamos cada año un find a Los hoteles k cualquiera d ellos son fantásticos"
"113","Colas de 1:30h  y cuando sacas las pulseras de cola rápida(55€) para una niña de 12 y otra de 9( q mide 1'37)  pues no puede subirse la de 9 en muchas cosas si no mide 1'40, así es q le toca a un adulto...Más"
"114","Fui con cierto miedo tras diversas opiniones de los usuarios, y me llevé una grandísima sorpresa,y aun más mis hijos. Es un lugar espectacular donde se combina diversión, paisaje y buen gusto. El hotel Portaventura fue una gran elección, muy tranquilo para ser finales de...Más"
"115","He ido varias veces a Salou y siempre hay visita obligada a este parque de atracciones donde nadie queda indiferente. Tiene atracciones de todo tipo para pequeños y mayores. También ofrece espectáculos. Recomendable 100%."
"116","Fuimos en tarifa nocturna el 24 de agosto, cuando cerraban a las 2 de la madrugada: era la ""flower power"" y la verdad es que salimos encantados. Había muy buen ambiente, podíamos montarnos en la mayoría  de las atracciones sin hacer cola casi y al...Más"
"117","Un parque que nunca de vas a ir con un mal sabor de boca. Una variedad espectacular de atracciones y de espectáculos. Hemos ido 19 veces y repetiremos seguro. No recomendamos visitar el parque en verano, ya que hay muchísima gente, nosotros recomendamos visitarlo en...Más"
"118","Pues es nuestra segunda visita. En la primera no pude subir a las grandes atracciones ya que los niños eran más pequeños y no podían subir, así pues quedamos en volver. Y esta vez si nos hemos subido en todo y la verdad que una...Más"
"119","Este parque está creado para recaudar dinero desde que entras, en taquilla no te explican que la pulsera para no esperar colas no incluye todas las atracciones te enteras cuando ya estás dentro y no puedes hacer nada, es el primer parque donde veo esto,...Más"
"120","Gran parque temático en el que pasar una buena jornada con los niños (y los no tan niños). A destacar especialmente la exhibición de las “Aves del Paraíso”, donde el presentador hace un trabajo excelente (de los mejores shows que he visto en mucho tiempo)....Más"
"121","Sin duda, pasan y pasan los años y es el N1 de los parques de Atracciones de todo el País... en cuanto a tamaño, decoración, y atracciones.. muy recomendable para todos los amantes de la adrenalina"
"122","El afan de dinero les está haciendo perder la calidad y lo especial de este parque. Visitamos este parque a menos una vez al año desde su inaguración. Los últimos años un solo dia con la pulsera express para poder subir a las atracciones sin...Más"
"123","Seguramente vuelva, todo genial.
Aunque hay un tren/autobús que te lleva al parque, en 5 minutos llegas andando."
"124","Es el mejor parque temático que he visto tampoco es que haya estado en muchos pero sin duda te vas a divertir con espectáculos en vivo como si fuesen reales tiroteos en el oeste y conciertos en África es muy interesante"
"125","Pésima organización. Una tomadura de pelo. Te bajan del tren que circula por el parque aduciendo que no cabía la gente que esperaba en la siguiente estación. Montan todos los que esperaban más lis que venían en el tren y sobra sitio. Y encima los...Más"
"126","El parque es una pasada, en mi modesta opinión, aunque más pequeño,  no tiene nada que envidiar a Disney 
Le daría 5 puntos si no fuera por el personal de las atracciones, serio,antipático y con una desidia 
Insoportablemente.
El personal de los restaurantes es mil...Más"
"127","Tuvimos un malentendido con un gorrila del parking y cuando volvimos nos faltaba el limpiaparabrisas trasero. No sabemos si fue él, pero desde luego no lo vigiló.

Ya nos han visto, me ha costado más caro la entrada que el arreglo. Vergüenza de país"
"128","Sin lugar a dudas,el parque es maravilloso.Nos lo pasamos genial.Ojo...lleva dinerito,xq todo vale muy caro."
"129","Fui con mi hija el día 25 de agosto y no sé si por ser domingo o finales de agosto apenas esperamos comas en las atracciones. Según entramos fuimos directos al dragón khan y esperamos 10 minutos, sin pulsera fastpass, y a partir de ahí...Más"
"130","No nos subimos a todas las atracciones porque los niños tienen 5 y 7 años pero en la que se subieron disfrutaMOS como nunca. Vale la pena el fast pass porque las colas son interminables. Eso sí prepárense para gastar a lo lindo si quieres...Más"
"131","El parque es espectacular,pero,no está bien como gestionan el tema de las colas,cada vez van a más,por los pases express de hoteles y los que se compran de forma ordinaria.Es muy injusto,yo intenté entrar sin pase,pero decidí comprarlo alas 12 de la mañana,esto es vergonzoso.El...Más"
"132","El mejor parque tematico que he visitado. Se superan con las atracciones. Ferrari fenomenal. Las animaciones tematicas fenomenal. Muuuuuy caaro."
"133","Hemos ido 2 días a portaventura (sería la décima vez que vamos pero la última vez había sido hace años )

En resumen:
- o pagas pases express de 55  euros o haces colas de 2 horas
- hay menos atracciones y no hay más...Más"
"134","Hemos visitado el parque en cuatro ocasiones. Somos una familia grande, con lo que tenemos la posibilidad de un descuento en la entrada. Es un parque cómodo, bonito y con mucha diversidad de atracciones tanto por temática como por edades. Esta muy limpio y siempre...Más"
"135","Para pasar un día diferente y muy activo!!. Tiene actividades para todas las edades y un montón de opciones para comer, obviamente los precios dentro del parque son mayores que fuera pero si te antojas date el gusto!!. Lo único malo de ir en temporada...Más"
"136","Qué triste ver hacia dónde navega este parque de atracciones. Hacía años que no lo visitábamos y nos hemos quedado con la sensación de que es una máquina de sacarte dinero. Las entradas baratas no son, pero bueno, se supone que accedes a muchas atracciones...Más"
"137","Fuimos al parque para llevar a mi sobrina de seis años y la pobre después de estar toda la mañana en el parque y conseguir subir a la primera atracción a las 15 h de la tarde, suplicaba que nos fuéramos del parque. Fue la...Más"
"138","El parque ofrece gran variedad de atracciones tanto para los amantes de la pura adrenalina como para lo que les tienen más respeto y también para los niños y diferentes clases de públicos. 
Compramos la entrada express para los 3 días que estuvimos y en...Más"
"139","Creo que no hay ningún parque en España que tenga el nivel de este. Es una paliza de día, sin duda. Hay que hacer colas a no ser que saques un pase express. Pero tiene atracciones fabulosas y espectáculos que por sí solos podrían merecer...Más"
"140","Muchas colas incluso en algunas atracciones con el pase express los usuarios tenían que hacer bastante cola. Todo carisimo, si quieres tomar algo fresco, porque el agua de las fuentes que hay instaladas sale bastante caliente, por una botella de agua cobran casi tres euros....Más"
