"","textoComentario"
"29","Hermosa. Muchisima gente a toda hora. Salida de metro en la puerta. No ingrese por la cantidad de gente pero te explican el detalle de todos los santos que participan en el diseño"
"30","Me impresionó profunda y fundamentalmente su belleza arquitectónica.Además que su ubicación permite obtener fotografías desde diferentes ángulos."
"31","Es un lugar mágico, vale la pena visitar la Basílica. Recomiendo comprar el pase con audioguía, enriquece muchisimo la visita."
"32","Simplemente Hermosa, pese a que sigue en construccion, la basilica es impresionante, si estas en Barcelona no debes dejar de ir y disfrutar esta belleza"
"33","Una visita que vale la pena. Gaudí en su máxima expresión. Emocionante. 
Sugerencia visitarla con guía y habiendo sacado el ticket previamente. Vale la pena incluir el ascenso a una de las torres."
"34","la sagrada familia es simplemente im`ponente cada dia que paso enfrente de ella me quedo admirandola minimo 5 minutos me parece una joya arquitectonica muero por verla terminada"
"35","Gaudi previo un edificio hermoso y dificil de construir, lleva mas de 130 años en obra ( desde 1882 ) y aun no esta terminada. Llena de andamios y gruas sigue siendo linda. 
La entrada 17 euros, para subir a las torres se eleva a...Más"
"36","me conmovió mucho¡¡¡¡¡ no se puede ir a Barcelona y no ver La Sagrada Familia asi como no se puede dejar de conocer las obras e historia de Gaudí."
"37","Para los que nos visitan a Barcelona es una parada obligatoria, es espectacular por dentro y por fuera. Sus vidrieras, el altar las escaleras a las torres, es todo un espectacula. Súper recomendable"
"38","La increíble disposición de las columnas, la luz que parece celestial, se siente realmente como diseñado por alguien con inspiración divina. Es realmente conmovedor."
"39","La verdad que el lugar y la gente muy cálida pero los puestos frente a la basílica dirigidos por unos turcos es lamentable que se manejen de esa forma intentaron estafar a mi señora con mi hijo escondiendo parte de la plata que ella le...Más"
"40","Es un magnífico ejemplo del arte Español. 

Es un templo diferente, original, despierto y sobre todo leal."
"41","No puedes dejar de visitarla si viajas a barcelona.
Una maravilla.
Hay que verla.
Las nuevas formas de construccion contrastan con las antiguas dandole aun mas esplendor q la obra."
"42","Estuve tres veces en Barcelona, recién la tercera vez adquirí las entradas con anticipación, para el ingreso a las 11:00 AM. Recomiendo leer la historia de Gaudi y la historia de la Iglesia antes de ingresar, porque es toda otra experiencia. Recorri la iglesia con...Más"
"43","Tras un día repleto de edificios modernistas entramos a la Catedral de Gaudi. Sin palabras, muy recomendado"
"44","Es una basílica bonita, sin embargo, es muy costoso ingresar. Es un ejemplo de cómo se hace comercio con la fe"
"45","Todo y ser de Barcelona no habia hecho la visita, despues de hacerla recomiendo a todo el mundo que tan pronto tengan la oportunidad la hagan. Experiencia muy positiva , llena de detalles, columnas únicas, etc, para resumir en una palabra: IMPRESIONANTE!!!"
"46","Conviene comprar los tickets por internet con antelación y con audioguía. Todo la obra y las explicaciones son espectaculares."
"47","Esta Basilica a la vista es muy impresionante, esta en construccion aun pero vale la pena verla ahora y volver si tengo vida ysalud una vez que este terminada dado a que me traigo muchas fotos de su estado actual y quisiera verla construida en...Más"
"48","Obra magna de Gaudí. Solo la Sagrada Familia, justifica un viaje a Barcelona!!
Visitar esta iglesia es toda una experiencia artística. Vale la pena volver una y otra vez."
"49","Puedes estar o no en acuerdo con las aportaciones de escultores y arquitectos en la obra póstuma de Gaudí, pero el interior te acogerá en un bosque en las alturas donde la luz te atrapa para elevarte sin dejar de tener los pies en el...Más"
"50","El lugar es mágico, sus fachadas impresionan.. una obra increíble de Gaudí; recomiendo comprar las entradas por internet y con tiempo ya que se agotan muy rápido, las nuestras fueron para las 7:00pm y a las 8 ya nos estaban sacando del lugar y nada...Más"
"51","Nos tocaron las entradas para las Festes de la Mercè, u pudimos disfrutar mucho del interior, de las espectaculares vidrieras y de las nuevas torres de los apóstoles."
"52","este edificio esta muy promocionado y me decepciono por completo ya que de sagrada familia no tiene nada es un rebuscado de un tipo de arte nada clasico y para mi es muy mediocre no parece una iglesia mas bien un edificio cualquiera de  arte...Más"
"53","Cada vez que la visito, me impresiona más. Destaca su arquitectura y diseño. Increíblemente hermosa."
"54","Excelente visita !!
Vale mucho la pena esta obra de Gaudí 
Recomiendo ampliamente el tour guiado con local tour 
Fue muy puntual y ameno y fue privado con un chico argentino que nos explico detalladamente lo que había que conocer"
"55","Reservé entrada por Internet para agilizar la visita y estar segura del día y hora que entraría.
Me encontré con una nave central de dimensiones impresionantes, sujeta por un bosque de columnas inclinadas.
Gaudí vivió para esa obra. Era su pasión. No logró verla terminada....Más"
"56","Imperdible!!!!!, Monumental, es inolvidable su visita, el recorrido vale cada euro que cuesta la entrada. Hacer reserva previa x internet para no hacer cola, y pagar audio guía"
"57","Es muy hermosa, pero se debe reservar las entradas con tiempo, el fin de semana es un caos muy lleno desde las 9 am por lo que si puedes entre semana será mejor, pero reserva tu entrada por internet con tiempo"
"58","Visita obligada en Barcelona, la sagrada familia es una obra excepcional. 
Imposible describirla, hay que verla y sentirla para entender la grandeza de Gaudí. La audioguía es fundamental y te permite recorrerla con libertad y a tu ritmo, vale la pena subir a las torres."
"59","En lo personal me pareció una obra de arquitectura increible, pero no la vi como una iglesia. Ojala cuando vayan sea un dia soleado porque se puede apreciar mejor el interior y sus colores. Un genio Gaudi. Hice visita guiada."
"60","Un lugar muy hermoso y que no se debe dejar de visitar durante el viaje. Las áreas muy bien mantenidas."
"61","Sin duda que esta catedral es extraña por donde la mires. Gaudí un genio. Pensar que lleva más de 100 años su construcción y aún no termina ."
"62","En el centro de Barcelona e icono de la ciudad. Resulta impresionante verse delante del templo, y el interior es ... indescriptible, Una visita que no te puedes perder."
"63","Cada día pasó 2 a 3 veces al día, y nunca me canso de mirarla.
Es sublime, magestuosa, atractiva una belleza única y admirable."
"64","Uno de nuestros objetivos al visitar Barcelona fue visitar este maravilloso monumento de la ciudad. Nada más íbamos acercándonos nuestras caras de sorpresa eran aún más expresivas. ¡INCREÍBLE!"
"65","Sin duda alguna la mayor obra de Gaudí, es simplemente extraordinaria, llena de detalles maravillosos que cautivan a cualquiera, independiente de la religión que profesen, es un lugar lleno de magia que te envuelve y transporta a lugares inimaginables.Desde el primer instante que ves esté...Más"
"66","Es algo que hay que ver una vez la vida,una construccion que es una obra de arte y derrocha amor por los 4 costados."
"67","Compré un ticket que incluía audioguía por 31 euros a través de tictactickets. Por razones ajenas a mi voluntad tuve que adelantar mi partida de Barcelona asi que solicité a la empresa que pudiera reagendar la fecha de mi visita o en su defecto reembolsarme...Más"
"68","Mas allá de la religión que profese cada uno, esta obra es un espectáculo único en su estilo, ejecución y simbología. Gaudi quien la diseño solo pudo ver ejecutada una parte mínima de la obra que aun esta en construcción. Sugiero que lo hagan con...Más"
"69","Impresionante el interior el juego de luces ddclos cristales . InckmpRabke belleza , únicas columnas"
"70","Visita corta pero suficiente para observar el trabajo que hay detrás de este monumento.
Precios altos pero por una visita podría merecer la pena."
"71","No soy fan de Gaudí pero cuando entré a la Basílica a las 6:15 de la tarde simplemente me quedé impactada. No importa si no eres católico, el templo guarda una atmósfera de espiritualidad para todos. Los detalles por admirar son incontables y cada ángulo...Más"
"72","En Barcelona tiene un grandioso patrimonio que sin lugar a dudas hace de esta una de las mejores ciudades del mundo. A destacar aunque hay grandísimos monumentos, historia etc es la Sagrada Familia, que a pesar de estar 3n construcción ( va para largo) es...Más"
"73","debe ser una de los mejores lugares para visitar en Barcelona, monumento excepcional, que te atrapa, aunque sólo pude visitar una parte, porque fuimos un poco tarde, así que si piensan recorrerla toda, les recomiendo que vayan con tiempo ; hay muchísimos turistas, y cuesta...Más"
"74","Este verano fui a visitar la Sagrada Familia con unos familiares. La experiencia fue muy positiva, lo unico es que esabamos esperando mas de 2h para las entradas y la cola para entrar en el recinto. Demasiada gente, todos muy nerviosos y con poca paciencia....Más"
"75","Construcción espectacular.
Parece que no avanza, pero cada vez que voy veo un adelanto bárbaro.
Te deja sin palabras."
"76","No se puede ir a Barcelona sin pasar por Sagrada Familia, ¡¡¡una maravilla arquitectónica en todos sus aspectos!!!"
"77","Excelente ocasion para vivir las maravillosas vistas desde las torres-La basilica con las columnas y el techo decorado con laminillas de cerámica y la luz que inunda la misma es una autentica preciosidad."
"78","Arquitectura en estado puro para el disfrute de los sentidos.
Un lugar incomparable  y visita ineludible"
"79","LA visita te permite contemplar no sólo la genialidad de Gaudí sino una descripción de buena parte del mundo católico. Me quedaron cortas las dos horas de recorrida. Luces,  y una arquitectura que toma a la naturaleza como modelo que no te permiten dejar de...Más"
"80","es una pena, los tiempos en que sacabas las entradas en el momento se acabaron. Estamos en una era super tecno, donde antes de empezar tu viaje ya recorriste todo online, hasta llegar al detalle de si rentaste un auto, donde estacionarlo. En un descuido...Más"
"81","Espectacular, vino familia de visita y fuimos a ver-la, el unico fallo es que hay que hacer mucha cola para entrar y los peques se hartan, la proxima vez miraremos de entrar con un grupo que parece que esa parte tiene mucha menos cola"
"82","Mejor que la hubieran dejado por acabar.
Le van añadiendo "" pegotes"" me parece una chapuza. Si Gaudí lo pudiera ver, seguro que no le gustaría nada.
Me da pena verlo.
Además quieren hacer una escalinata,. Muchos vecinos tendrán que irse de sus casas....lo dicho,...Más"
"83","A mi parecer es necesario ir por su importancia pero considero que está sobrevalorada, prefiero adentrarme en el mundo de Gaudí en otra de sus obras"
"84","Una visita con guía muy recomendable, amena para los niños y muy interesante para los adultos. Merece la pena la inversión. Posiblemente repetiría (con subida a las torres)."
"85","La mejor hora es las 15.30 16 hs  porque el sol que entra por los vitro hacen un efecto espectacular y distinto"
"86","La Sagrada Familia creó que es una maravilla desde todo punto de vista en materia de estilo de construcción en tamaño y estilo.Es hermosa visitarla y cuando uno está dentro encontrarse con la gama de colores,la amplitud.Hermosa"
"87","Visita imprescindible para todos los amantes de la arquitectura. Se trata de un monumento único que esconde muchos secretos de carácter simbólico."
"88","He visitado muchos templos de muchas religiones, pero tan espectacular ,  he visto pocas su interior con sus columnas impresionante."
"89","Excelente Es un cirio hermoso, con una arquitectura fuera de este mundo. Muy creativo y vale la pena visitarla cada vez que se pueda. Felicitaciones"
"90","Bueno, la visita a la Sagrada Familia es obligada si vienes a Barcelona. Es una basílica impresionante. Sí eres católico lo será aún más ya que puedes apreciar todo su simbolismo en nuestra fé y si eres de otra religión simplemente con admirar el edificio...Más"
"91","Es una arquitectura fuera de otro mundo, sin duda una belleza histórica, pero una vez la conoces no vale la pena volver."
"92","Visita obligatoria al venir a BCN. Sean cristianos o amantes de la arquitectura, les va a gustar!

Audioguia obligatoria."
"93","Es un templo único y merece visitarlo, vale la pena informarse antes o disponer de la visita guiada en grupo o individual porque hay tanto simbolismo religioso y detalle artístico que si no se pierde.Curiosamente cambia mucho según la hora del día por la luz...Más"
"94","El arte de Gaudí en su mayor expresión, visita imperdible en Barcelona, necesariamente hacerla con un guía para conocer mejor y en detalle mucho de lo que allí se expone"
"95","No duden en visitar la sagrada familia es impresionante. Recomiendo totalmente pagar el audioguia es muy fácil de seguir y tiene mucha información, de otra manera no se lograría entender todo el significado de la obra y lo que Gaudí quiso representar. La subida a...Más"
"96","He estado 3 veces en este lugar, y cada vez es diferente. Es muy interesante la progresión de la edificación. Puedes entrar aunque es una larga fila, dentro hay un museo muy interesante. Por fuera, tienes mucho que contemplar, al menos 1 hora. Las fotos...Más"
"97","Si o si hay que reservar antes de ir (de lo contrario es imposible entrar, es un mundo de gente). En la pag. oficial hay opciones de entrada sola, entrada+audioguia, entrada+guia. Entre estas ultimas 2 opciones habia 1 euro de diferencia. Tome la opcion de...Más"
"98","Me arrepiento no haber comprado las entradas por internet!!!!  cuando llegamos allí, estaba full de gente y no había entradas para toda la semana, no pudimos entrar. Recomiendo comprarlas con antelación, había demasiada gente, así que solo la vimos por fuera."
"99","Un monumento muy recomendable para turistas sobre todo,es muy recomendable ir a la sagrada familia!!"
"100","Increíble. A pesar de la cantidad de gente por todos lados merece la pena pasar a verla por dentro. Nosotros elegimos la visita básica sin audio guía porque a los niños se les hace largo, pero se puede coger en todo momento."
"101","Cada vez que voy a Barcelona, me acerco a la Sagrada Familia. Pero no se porque. No me conmueve en absoluto. Podría decir que me asombra su volumen, lo recargada que es... pero nada mas. Es una cuestión de gustos."
"102","Otra maravilla de España que rivaliza con la Alhambra  Impresionante su arquitectura
y Gaudí el arquitecto que la diseñó un genio  He ido cuatro veces a visitarla y cada vez veo cosas nuevas a medida que se va terminando Esta tan llena de símbolos y...Más"
"103","Un sitio impresionante,guapo y algo que en pocos sitios podras llegar a ver.
La pena es la cantidad de gente que hay y no poder disfrutar de un sitio tan unico"
"104","La obra en sí es fantástica y permite apreciar la genialidad y la profunda espiritualidad de Gaudí. El guía que nos acompañó, Giorgio, es simplemente fantástico y ayuda a ensimismarse con el espíritu de  Gaudí!!! 3,5 horas de visita guiada ... y nos quedamos cortos."
"105","La Sagrada Familia es de lo más bonito e impresionante que he visto en arquitectura. Recomiendo comprar para evitar colas y con audio guía. Llegar con tiempo porque querrán tomar fotos desde fuera también."
"106","Visité Barcelona hace 4 años, y por cierto visite la Iglesia. Es un lugar que no hay que dejar de ver, compré tiket por internet y así evitar la fila para poder adquirir uno. La construcción avanza a buen ritmo."
"107","Espectacular arquitectura!! Es el principal atractivo a visitar en Barcelona. Muy recomendable tomar la audio guía, subir a la torre de la pasión y comprar los tickes con más de un mes o dos de anticipación."
"108","Me gusto mucho la iglesia, muy bonita tanto por dentro como por fuera, es imponente desde el ingreso a la misma, la arquitectura es maravillosa si sos fanatico de la misma salís alucinado..."
"109","Asi sea lo unico que visites en Barcelona, no dejes de ir. Admirar la obra de Gaudi es magico, tomarse el tiempo de la visita y admirar"
"110","La viista a La sagrada Familia es lo mejor de Barcelona. Simplemente espectacular, hermosa e impresionante! Vale la pena el tour guiado. Eso sí, compren tickets online con anticipación porque las colas no las recomiendo."
"111","Si vas a barcelona no puedes faltar a la sagrada familia, es sorprendente fuimos en tren y al salir y encontrarnos con majestuosa arquitectura quedamos plasmados."
"112","Aun no terminada la Sagrada Familia es el monumento icono de Barcelona, tiene alrededor de 80 años de construcción, del ingenio de arquitecto Gaudi, impresionante estructura, largas filas para comprar las entradas y largas filas para entrar, recomiendo comprar las entradas antes Online."
"113","La Sagrada familia es una visita obligatoria del que llega a Barcelona,si es bella y monstruosa por fuera,por dentro es impresionante,los audio guías ayudan mucho a comprender la magnitud de esta colosal contrucción."
"114","Impresionante iglesia en construcción desde hace mas de 100 años y que se supone se finalizará en 2026 para conmemorar el centenario de la muerte de Gaudí. 
Actualmente cuenta con 8 torres pero cuando esté finalizada contará con 18 torres según escuché en la audioguía...Más"
"115","Hermosa obra, que a pesar de todos los años que lleva en construcción, faltan muchas cosas. Vale la pena ir con tiempo, leer las características de los diferentes lados e imágenes."
"116","Definitivamente el lugar a visitar en Barcelona, un sitio precioso independientemente si eres católico o no, ya que es una obra de arte en proceso, un sitio lleno de historia y de una arquitectura espectacular, debes tener tiempo para poder recórrela y siempre estar atento...Más"
"117","La visitamos por fuera es hermosa, la entrada es cara y no sé si se justifica, cómo el tiempo era poco decidimos no entrar"
"118","aunque el templo no esta acabado del todo es totalmente recomendable hacer la visita, pasear por fuera y ver las impresionantes torres, y por dentro todos sus detalles, es única y no os lo podéis perder.Cada rincón, cada columna, cada detalle del suelo es una...Más"
"119","Con clarísimas marcas de su impronta naturalista, aquí se combinan los elementos clásicos de la arquitectura con el toque personal de Gaudí. Desde gárgolas representadas por moluscos, reptiles y anfibios, hasta tortugas que sostienen columnas. Un interior y exterior que, simplemente, impresionan."
"120","La Basílica de la Sagrada Familia, tal como está siendo construida, me parece una mona de pascua y una falta de respeto enorme a su arquitecto primigenio, el gran creador y arquitecto catalán , Antoni Gaudí. Deberían derribar todo lo construido posterior a Gaudí. Es...Más"
"121","Como cualquier cosa de Antonio Gaudi es una pasada. En Barcelona tenemos varias obras. Lo triste es que no se si esta la voy a ver acabada."
"122","No tiene comparación con otros monumentos o iglesias históricas. Es simplemente magnifico y vale la pena ir y quedarse un buen rato observando el interior."
"123","Hermosa, monumental, inacabada, en construción, singular y repleta de turistas. No obstante, hay que visitar."
"124","Es hermosa . Por algo es uno de los lugares mas visitados de Barcelona. La recomendación es que obtengan las entradas por internet para evitar las colas y la perdida de tiempo innecesaria."
"125","Sin duda es una de las mejores cosas para conocer en Barcelona. Recomiendo que si o si lo hagas con audio guía y que se tomen un buen tiempo para maravillarse dela obra de Gaudí y rezar"
"126","Maravilloso lugar. Tiene miles de interpretaciones, colores, esculturas . Es una obra genial e increible imposible no ir"
"127","Uno de los must de Barcelona. No se puede dejar de ir y disfrutar. Para impresionarse, maravillarse y disfrutar cada segundo de la visita."
"128","Visitar Barcelona y no visitar la Sagrada Família es un error. Puede ser uno de los monumentos más impresionantes que he visto nunca, y eso que aún las obras no están terminadas al 100%. Sin duda merece la pena visitarla."
"129","Siendo no católico me ha emocionado la arquitectura del Lugar como también me ha encantado la manera en la cual Gaudí cuenta la historia de Jesús a través de sus esculturas lo recomendaría a cualquier persona de cualquier credo y de cualquier lugar del mundo"
"130","Visitar la Sagrada Familia es una visita obligada si pasás por Barcelona!!! 
Es una iglesia diferente a todas. Imponente. Luminosa. Todo pensado hasta el último detalle.... una belleza!!! Desde su fachada hasta su interior todo es imperdible!!!
Importante: si van pocos días asegurarse de sacar...Más"
"131","Una excelente visita e imprescindible para los amantes del arte y de la obra de Gaudí. Una obra de arte de exquisita belleza que es imprescindible ver como mínimo una vez en la vida."
"132","La genialidad de Gaudí resulta increíble !.Desde la plaza de enfrente se puede observar con detenimiento cada una de las torres, las aberturas y cada rincón de esa estructura. La arquitectura de la Sagrada familia te deja sin Palabras, su interior, sus vitró y el...Más"
"133","Imposible perderse la visita a este lugar. Lleno de magia y encanto con un nivel de detalles que se aprecia a medida que uno se va acercando. La visita con audio guía es fundamental para entender la mística de este lugar y sus múltiples formas...Más"
"134","Poco nuevo se puede decir de este monumento....increible,majestuoso,etc
Hare hincapie en varios datos practicos.
-compre la entrada por la mañana por internet y entre a las 14:15,tanto la compra en si,como la organizacion una vez alli todo pèrfecto....25€
-la audioguia para mi imprescindible,te enteras de...Más"
"135","Podria decir que es lo mejor que vi en mi vida en arquitectura, una obra maestra. recomiendo entrar y comprar la audioguia que esta economica, la audioguia te lleva al cielo con su explicación y musica. 100% recomendado de visitar por dentro."
"136","Parada obligada, subir a la torre súper recomendado, mejor vista y otra experiencia además del museo.."
"137","Imperdible!!! Recomiendo ir con guía así pueden explicarles toda la arquitectura de la sagrada familia"
"138","Ir a Barcelona incluye inexorablemente la visita a esta obra de Gaudí, a la que otros escultores, arquitectos y personalidades han hecho ya su aporte. Muy interesante y muy diferente al concepto clásico de catedral que tenemos los católicos, pero sin dudas una obra única,...Más"
"139","Visita obligada en barcelona. Pero está muy masificado, es lógico. Un poco caro para la entrada básica. El trato de los miembros de seguridad nada correcto. Bien organizada la entrada y salida. Los tickets hay que comprarlos por internet si o si. No hay taquillas."
"140","Resulta increible el genio de Gaudí. Es importante sentarse al frente, en la plaza, y ver con detenimiento cada una de las torres, las aberturas y cada rincón de esa imponente estructura nacida de la inspiración de un genio inimitable."
"141","No hay demasiado que decir, simplemente esperaba algo más.
Es caro, y siempre te lo intentan vender como una de las cosas más alucinantes pero luego al final es una decepción en la mayoría de sus sentidos"
"142","Simplemente, no puedes irte de Barcelona sin verla, es única,  es una obra de arte.
Yo vivo a unos 45 kilómetros de Barcelona, y nunca la había visto por dentro...anímo a todo el mundo que si tiene la oportunidad,  la vea."
"143","Todo lo espectacular y magna que parece esta obra de Gaudi por fuera. Por dentro es una basílica al uso de tamaño normal ... Impactan los colores y los detalles."
"144","Hermosa por dentro y por fuera, pero más por dentro. Todo el que viaje a BCN debería visitarla, más allá de sus creencias religiosas."
"145","En primer lugar tienes que comprar con tiempo por qué puedes correr con la mala suerte de llegar a comprar directamente y pues no hay lugar lo mejor es comprarlo
Por internet y ya llegas con cita y todo es más fácil la sagrada familia...Más"
"146","Visita obligada si vas a Barcelona por primera vez. Si bien es cierto que Gaudí dejó muchos diseños del templo, lo que vemos solo puede ser algo inspirado en lo que el querría que fuese el templo expiatorio de la sagrada familia. No es poca...Más"
"147","Es un monumento que no te cansas de ver, preciosa arquitectura  interior y exterior. Lástima que no se termine en la parte iniciada."
"148","Uno de los sitios indispensables para conocer, recomiendo separar tour guiado por internet y estar 15 minutos antes para no tener problemas, las colas son muy largas. llevan una buena camara fotografica."
"149","Increíble, hermosa, aun en construcción pero sigue siendo impresionante. Les recomiendo los tour que ofrecen, sin duda alguna es una inversión de la que jamás se arreepentiran"
"150","Una hermosa catedral católica que diseñó Antonio Gaudí y que algún día tendrán que terminar.
Por fuera es espectacular, alta, esbelta y elegante. Por dentro deja mucho que desear desde el momento en que te han cobrado una pasta, no se cuánto será ahora, pero...Más"
"151","Vale la pena ver la Basílica por dentro, los vitrales son lo que más llama la atención, los colores y las luces que producen según donde te pares es lo más destacable a mi juicio, de noche ofrece su majestuocidad en esas cúpulas iluminadas, realmente...Más"
"152","Tienen que verla pero con audio guía, esta increíble por dentro y por fuera ...definitivamente cautiva una obra de esta magnitud, toma unas
2horas poderla disfrutar toda,dense el tiempo de entender a Gaudi 
En la tarde se aprecia mucho la entrada del sol por los...Más"
"153","En una sola palabra es “Impresionante”.
Es el icono de la ciudad. Si están de visita en Barcelona y no van a la Sagrada Familia es como si no hubieran ido a Barcelona. Es uno de los lugares más imponentes que he visto en mi...Más"
"154","La visita guiada tiene poca información,  yo tuve un día antes un tour de Sandesman del modernismo por las obras de Gaudi  por fuera y fue donde aprendí y entendí mucho mas de esta gran obra"
"155","Interesante. Imperdible subir a alguna de las torres y disfrutar la vista de la ciudad. Vale la pena bajar y leer la historia en el museo que termina en la tienda."
"156","Imperdible de Barcelona y recomiendo subir a la torre para apreciar la vista a la ciudad desde la altura ."
"157","Al entrar la primera vez y mirar su cielo, es una experiencia sobrecogedora, el modo como entra la luz es alucinante. Luego tenemos, las columnas con forma de arboles para darle apariencia de bosque, simplemente genial."
"158","Hemos venido a ver Barcelona con mucha ilusión, se suponía que este fin de semana era jornada de puertas abiertas y al llegar a la entrada, la chica de información muy amablemente nos explica que no, que las puertas abiertas son unas entradas que se...Más"
"159","Esta es la segunda vez que visito esta emblemática edificación y siempre hay mucha gente, te recomiendo si vas a visitarla por dentro mejor es hacer las reservaciones del tour guiado con anticipación para que no sufras en las largas fila de espera 
También le...Más"
"160","Buena organización para ingresar, sí o sí adquirir los tickets con anticipación. Vale la pena! Te toma mas o menos unas 3 horas, si sos aficionado a las fotos te va a demorar un poco más, hay muchos detalles! El museo también es super recomendable."
"161","Esta obra maestra de Gaudí es imponente por fuera, completamente distinta a cualquier basílica. Una ve dentro es espectacular el juego de luces conseguido con la entrada de sol a través de las vidrieras. Las columnas, impresionantes, majestuosas alzándose hacia un techo que parece infinito....Más"
"162","Impresionante e imprescindible. Comprar los boletos en línea antes, ya que si no, casi es imposible entrar. Los domingos muy temprano se puede entrar gratis."
"163","Fue exageradamente caro para algo que no creo que valga tanto. Es una visita de media hora. Personalmente no vale lo que pague por entrar."
"164","Es la soberbia, la maldad y el orgullo sin sentido hechos piedra. Si os fijáis bien, se nota.  Hecha para purgar los excesos esclavistas, templo expiatorio y por tanto debería ser solo financiado por limosnas de fieles, se ha convertido en el paradigma del mercantilismo....Más"
